device,VIN,data_collector,elapsed_time_s,voltage_control_module,engine_load,coolant_temperature,intake_manifold_absolut_pressure,rpm,speed,acceleration_x,acceleration_y,acceleration_z,magnitude,fuel_pressure,timing_advance,intake_air_temperature,mass_air_flow,throttle_position,fuel_level,engine_oil_temperature,radar_area,cloud_quantity,teda_time,teda_flag,fuel_model_prediction,air_fuel_ratio,other_info,city_road_label,city_road_prob,coolant_temp,distance_traveled_with_MIL_on,driver_behaviour_label,fuel_model_prediction_prob,runtime_since_engine_start,short_term_fuel_trim_bank_1,fuel_type
,,App2Car,23.001,14.3,27.0,,31.0,1230.0,23.0,4.28322696685791,0.1867477297782898,9.955090522766112,10.839037562471304,,29.0,37.0,3.62,16.0,50.59,,707.5,,,1,Etanol,,,0.0,0.6,68.0,0.0,2.0,0.57,313.0,-7.03,Gasolina
,,App2Car,24.004,14.3,36.0,,33.0,1260.0,24.0,1.417367458343506,-6.564900875091553,9.318233489990234,11.486354051034844,,28.0,37.0,4.99,18.0,50.59,,918.0,,,1,Etanol,,,0.0,0.6666666666666666,68.0,0.0,2.0,0.57,313.0,-7.03,Gasolina
,,App2Car,25.001,14.3,20.0,,33.0,1315.0,25.0,1.45806884765625,1.498770236968994,13.184868812561035,13.349645785269898,,30.0,37.0,3.23,16.0,50.59,,655.875,,,1,Etanol,,,0.0,0.6666666666666666,68.0,0.0,2.0,0.57,313.0,-7.03,Gasolina
,,App2Car,26.002,14.3,18.0,,28.0,1292.0,25.0,-1.01753568649292,-0.4046200811862945,6.969521045684815,7.055020899304932,,18.0,37.0,2.07,14.0,50.59,,578.78,,,0,Gasolina,,,0.0,0.7666666666666667,68.0,0.0,2.0,0.53,313.0,-7.03,Gasolina
,,App2Car,27.001,14.3,19.0,,26.0,870.0,24.0,3.4787750244140625,1.2306196689605713,10.079588890075684,10.733797679901407,,2.5,37.0,1.95,14.0,50.59,,488.05,,,0,Gasolina,,,0.0,0.8333333333333334,68.0,0.0,2.0,0.5,313.0,-7.03,Gasolina
,,App2Car,28.001,14.3,19.0,,24.0,901.0,22.0,-0.5985504388809204,0.5770025849342346,9.15542697906494,9.193097289809106,,3.0,37.0,1.93,14.0,50.59,,488.05,,,0,Etanol,,,0.0,0.6333333333333333,68.0,0.0,2.0,0.57,313.0,-7.03,Gasolina
,,App2Car,29.001,14.3,21.0,,25.0,839.0,19.0,0.646434485912323,-0.4405331015586853,12.21042823791504,12.235460952143102,,3.5,37.0,1.89,14.0,50.59,,494.715,,,0,Etanol,,,0.0,0.7333333333333333,68.0,0.0,2.0,1.0,313.0,-7.03,Gasolina
,,App2Car,30.001,14.3,21.0,,26.0,834.0,14.0,-1.6663644313812256,-0.4453215301036834,8.753201484680176,8.921525537415313,,3.5,37.0,1.95,14.0,50.59,,494.715,,,0,Etanol,,,0.0,0.8666666666666667,68.0,0.0,2.0,0.93,313.0,-7.03,Gasolina
,,App2Car,31.001,14.3,22.0,,26.0,816.0,11.0,0.0430956296622753,0.5554547905921936,10.781089782714844,10.795475170674342,,3.5,37.0,1.91,14.0,50.59,,402.12,,,0,Etanol,,,0.0,0.8666666666666667,68.0,0.0,2.0,0.83,313.0,-7.03,Gasolina
,,App2Car,32.003,14.3,22.0,,26.0,807.0,10.0,-1.7573440074920654,0.4094084799289703,8.851364135742188,9.033411333909749,,3.5,37.0,1.93,15.0,50.59,,369.12,,,0,Etanol,,,0.0,0.7333333333333333,68.0,0.0,1.0,0.8,313.0,-7.03,Gasolina
,,App2Car,33.001,14.3,22.0,,28.0,871.0,10.0,-0.2633621990680694,1.9991583824157717,10.596736907958984,10.786882171525807,,2.5,37.0,2.21,15.0,50.59,,369.12,,,0,Etanol,,,0.0,0.6333333333333333,68.0,0.0,1.0,0.83,313.0,-7.03,Gasolina
,,App2Car,34.001,14.3,22.0,,26.0,944.0,10.0,-2.808398485183716,0.3998316824436188,10.527304649353027,10.90280287844175,,2.0,37.0,2.28,15.0,50.59,,369.12,,,0,Etanol,,,1.0,0.5666666666666667,68.0,0.0,1.0,0.9,313.0,-7.03,Gasolina
,,App2Car,35.000,14.3,23.0,,26.0,928.0,9.0,-0.3184288144111633,1.7764976024627686,7.280767440795898,7.501127593126044,,,37.0,2.3,15.0,50.59,,388.48,,,0,Etanol,,,1.0,0.7,68.0,0.0,1.0,0.87,313.0,-7.03,Gasolina
,,App2Car,36.002,14.3,21.0,,26.0,901.0,8.0,2.4588451385498047,-0.8475474119186401,9.497797966003418,9.84745765331533,,3.0,37.0,1.85,14.0,50.59,,333.645,,,0,Etanol,,,0.0,0.7,68.0,0.0,1.0,0.87,313.0,-7.03,Gasolina
,,App2Car,37.001,14.3,23.0,,26.0,818.0,8.0,1.2665326595306396,0.8930372595787048,8.540117263793945,8.679586591768354,,3.0,37.0,1.97,14.0,50.59,,343.79,,,0,Etanol,,,0.0,0.8333333333333334,68.0,0.0,1.0,0.73,313.0,-7.03,Gasolina
,,App2Car,38.002,14.3,24.0,,32.0,797.0,8.0,0.6248866319656372,1.8148049116134644,8.966285705566406,9.169420893593562,,3.0,37.0,2.23,15.0,50.59,,367.52,,,0,Etanol,,,0.0,0.7333333333333333,68.0,0.0,1.0,0.73,313.0,-7.03,Gasolina
,,App2Car,39.001,14.3,44.0,,49.0,695.0,8.0,1.7525556087493896,1.486799240112305,8.863334655761719,9.156458068608416,,19.0,37.0,3.2,17.0,50.59,,655.46,,,1,Etanol,,,1.0,0.6,68.0,0.0,2.0,0.53,313.0,-7.03,Gasolina
,,App2Car,40.000,14.3,84.0,,78.0,993.0,13.0,1.994369983673096,1.984793186187744,9.430760383605955,9.841552572470723,,5.5,37.0,8.3,21.0,50.59,,1500.105,,,1,Gasolina,,,0.0,0.7666666666666667,68.0,0.0,2.0,0.73,313.0,-7.03,Gasolina
,,App2Car,41.001,14.3,70.0,,73.0,1209.0,16.0,0.9169792532920836,2.28406834602356,9.081207275390623,9.408833335694842,,15.5,36.0,9.02,21.0,50.59,,1283.595,,,1,Gasolina,,,0.0,0.7333333333333333,68.0,0.0,2.0,0.8,313.0,-7.03,Gasolina
,,App2Car,42.002,14.3,70.0,,66.0,1475.0,19.0,0.5171475410461426,2.5761611461639404,9.241618156433104,9.60789019397749,,17.0,36.0,12.05,23.0,50.59,,1679.875,,,1,Gasolina,,,0.0,0.9666666666666668,68.0,0.0,2.0,0.83,313.0,-7.03,Gasolina
,,App2Car,43.001,14.3,15.0,,22.0,1796.0,23.0,-0.3423708379268646,1.0247182846069336,10.012551307678224,10.0706727204472,,22.0,36.0,2.84,15.0,50.59,,624.3399999999999,,,0,Gasolina,,,0.0,0.8666666666666667,68.0,0.0,2.0,0.77,313.0,-7.03,Gasolina
,,App2Car,44.001,14.3,17.0,,52.0,1250.0,24.0,-0.0454898327589035,2.106897592544556,10.467450141906738,10.677480941854116,,15.5,36.0,2.61,21.0,50.59,,798.68,,,1,Gasolina,,,0.0,0.8,68.0,0.0,2.0,0.77,313.0,-7.03,Gasolina
,,App2Car,45.000,14.3,78.0,,74.0,1364.0,26.0,0.6991068720817566,1.800439715385437,10.42195987701416,10.599414194445943,,14.5,36.0,10.26,22.0,50.59,,1853.28,,,1,Gasolina,,,0.0,0.7333333333333333,68.0,0.0,2.0,0.8,313.0,-7.03,Gasolina
,,App2Car,46.001,14.3,64.0,,65.0,1469.0,28.0,0.3902548849582672,1.8483237028121948,9.68694019317627,9.869417900351827,,18.5,36.0,10.26,22.0,50.59,,1687.7399999999998,,,1,Gasolina,,,0.0,0.9333333333333332,68.0,0.0,2.0,0.83,313.0,-7.03,Gasolina
,,App2Car,47.000,14.3,64.0,,63.0,1637.0,32.0,0.0766144543886184,1.4101848602294922,9.617507934570312,9.720645553982752,,21.0,36.0,10.51,22.0,50.59,,1687.7399999999998,,,1,Gasolina,,,0.0,0.9,68.0,0.0,2.0,0.9,313.0,-7.03,Gasolina
,,App2Car,48.001,14.3,55.0,,57.0,1721.0,33.0,0.6991068720817566,1.577778935432434,9.148244857788086,9.309592943073955,,25.5,36.0,9.7,21.0,50.59,,1625.595,,,1,Gasolina,,,0.0,0.8666666666666667,68.0,0.0,2.0,0.63,313.0,-7.03,Gasolina
,,App2Car,49.001,14.3,41.0,,40.0,1752.0,34.0,-0.2298433631658554,1.0462661981582642,9.346963882446287,9.408147253777194,,10.0,36.0,2.28,15.0,50.59,,1219.5,,,1,Gasolina,,,0.0,0.9666666666666668,68.0,0.0,2.0,0.77,313.0,-7.03,Gasolina
,,App2Car,50.001,14.3,22.0,,28.0,784.0,33.0,0.3591302633285522,0.181959331035614,9.955090522766112,9.963227943827093,,-16.5,36.0,1.93,16.0,50.59,,789.25,,,0,Gasolina,,,0.0,0.6333333333333333,68.0,0.0,2.0,0.8,313.0,-7.03,Gasolina
,,App2Car,51.001,14.3,22.0,,26.0,830.0,29.0,-0.2466027736663818,-0.150834709405899,9.30386734008789,9.30835707950096,,2.0,36.0,1.93,14.0,50.59,,589.68,,,0,Etanol,,,0.0,0.8333333333333334,68.0,0.0,2.0,1.0,313.0,-7.03,Gasolina
,,App2Car,52.000,14.3,20.0,,25.0,863.0,26.0,0.0407014302909374,-0.5650315880775452,9.586383819580078,9.603107415741006,,2.0,36.0,1.91,14.0,50.59,,546.35,,,0,Etanol,,,0.0,0.8333333333333334,68.0,0.0,2.0,1.0,313.0,-7.03,Gasolina
,,App2Car,53.000,14.3,22.0,,25.0,817.0,21.0,0.3902548849582672,-0.48602294921875,10.338163375854492,10.356936765678366,,2.5,37.0,1.93,14.0,50.59,,476.655,,,0,Etanol,,,0.0,0.8666666666666667,68.0,0.0,2.0,1.0,313.0,-7.03,Gasolina
,,App2Car,54.001,14.3,21.0,,26.0,811.0,18.0,0.0837970599532127,0.8690952062606812,11.204863548278809,11.238830702539712,,2.0,37.0,1.79,14.0,50.59,,430.755,,,0,Etanol,,,0.0,0.8666666666666667,68.0,0.0,1.0,1.0,313.0,-7.03,Gasolina
,,App2Car,55.000,14.3,21.0,,34.0,771.0,15.0,-0.0023942016996443,1.1540051698684692,11.130643844604492,11.190306790241133,,11.0,37.0,1.91,15.0,50.59,,427.535,,,0,Etanol,,,0.0,0.7333333333333333,68.0,0.0,1.0,0.73,313.0,-7.03,Gasolina
,,App2Car,56.001,14.3,100.0,,95.0,919.0,18.0,0.2298433631658554,2.5546131134033203,11.168951034545898,11.45968338754817,,0.5,36.0,9.57,25.0,50.59,,2017.21,,,1,Gasolina,,,1.0,0.5333333333333333,68.0,0.0,2.0,0.7,313.0,-7.03,Gasolina
,,App2Car,57.002,14.3,86.0,,90.0,1238.0,21.0,0.1436520963907241,1.8531121015548704,8.621520042419434,8.819595695244002,,3.5,36.0,10.76,25.0,50.59,,1922.255,,,1,Gasolina,,,0.0,0.7666666666666667,68.0,0.0,2.0,0.7,313.0,-7.03,Gasolina
,,App2Car,58.001,14.3,87.0,,87.0,1384.0,27.0,0.0670376494526863,2.4205379486083984,9.339780807495115,9.648575207726353,,5.5,36.0,12.35,25.0,50.59,,2074.59,,,1,Gasolina,,,0.0,0.7666666666666667,68.0,0.0,2.0,0.7,313.0,-7.03,Gasolina
,,App2Car,59.001,14.3,85.0,,86.0,1535.0,30.0,0.0167594123631715,2.408566951751709,9.402029991149902,9.705650086081588,,11.5,36.0,14.59,25.0,50.59,,2175.04,,,1,Gasolina,,,0.0,0.9666666666666668,68.0,0.0,2.0,0.9,313.0,-7.03,Gasolina
,,App2Car,60.000,14.3,88.0,,86.0,1770.0,34.0,-0.6272808313369751,2.3487119674682617,9.224859237670898,9.539809070538755,,11.5,36.0,14.59,26.0,56.08,,2439.65,,,1,Gasolina,,,0.0,0.8333333333333334,73.0,0.0,2.0,0.9,372.0,-3.13,Gasolina
,,App2Car,61.001,14.3,84.0,,37.0,1881.0,35.0,-0.7565677165985107,0.629675030708313,9.86889934539795,9.91786567985737,,5.5,36.0,2.4,16.0,56.08,,1988.3,,,1,Gasolina,,,0.0,0.8666666666666667,73.0,0.0,2.0,0.87,372.0,-3.13,Gasolina
,,App2Car,62.001,14.3,100.0,,23.0,1500.0,35.0,0.2489969730377197,1.417367458343506,10.065223693847656,10.16757876840624,,-3.5,36.0,15.07,24.0,56.08,,2632.5,,,1,Gasolina,,,0.0,0.8333333333333334,73.0,0.0,2.0,0.8,372.0,-3.13,Gasolina
,,App2Car,63.001,14.3,89.0,,88.0,1448.0,36.0,0.2059013396501541,1.800439715385437,9.349357604980469,9.523364224695651,,7.5,36.0,13.24,26.0,56.08,,2495.0,,,1,Gasolina,,,0.0,0.8333333333333334,73.0,0.0,2.0,0.9,372.0,-3.13,Gasolina
,,App2Car,64.001,14.3,87.0,,87.0,1499.0,39.0,-0.1915361285209655,1.8339585065841677,9.255983352661133,9.437866163341226,,9.5,35.0,13.6,26.0,56.08,,2509.76,,,1,Gasolina,,,0.0,0.8666666666666667,73.0,0.0,2.0,0.9,372.0,-3.13,Gasolina
,,App2Car,65.001,14.3,88.0,,88.0,1564.0,40.0,0.0383072271943092,1.7501614093780518,9.169792175292969,9.335396131959032,,10.5,35.0,14.5,26.0,56.08,,2602.865,,,1,Gasolina,,,0.0,0.8666666666666667,73.0,0.0,2.0,0.93,372.0,-3.13,Gasolina
,,App2Car,66.001,14.3,90.0,,88.0,1671.0,43.0,-0.4022258818149566,1.482010841369629,9.318233489990234,9.443919587116069,,11.0,35.0,15.37,27.0,56.08,,2841.3,,,1,Gasolina,,,0.0,0.7666666666666667,73.0,0.0,2.0,0.93,372.0,-3.13,Gasolina
,,App2Car,67.001,14.3,90.0,,88.0,1709.0,44.0,0.0742202550172805,1.7310078144073486,9.313444137573242,9.473232732467388,,13.0,35.0,15.56,27.0,56.08,,2841.3,,,1,Gasolina,,,0.0,0.7333333333333333,73.0,0.0,2.0,0.93,372.0,-3.13,Gasolina
,,App2Car,68.001,14.3,80.0,,82.0,1760.0,46.0,-0.9313444495201112,1.941697597503662,10.06043529510498,10.288340506165095,,15.0,35.0,17.5,25.0,56.08,,2609.58,,,1,Gasolina,,,0.0,0.8666666666666667,73.0,0.0,2.0,0.93,372.0,-3.13,Gasolina
,,App2Car,69.006,14.3,91.0,,85.0,1802.0,47.0,-0.3854664862155914,1.9560627937316892,10.673351287841797,10.857955322190774,,13.5,35.0,17.31,28.0,56.08,,3175.38,,,1,Gasolina,,,0.0,0.7,73.0,0.0,2.0,0.93,372.0,-3.13,Gasolina
,,App2Car,70.000,14.3,11.0,,20.0,1773.0,47.0,0.3806780576705932,0.8451532125473022,9.59835433959961,9.64300812842038,,7.5,35.0,2.12,15.0,56.08,,968.6,,,0,Gasolina,,,0.0,0.8666666666666667,73.0,0.0,2.0,0.93,372.0,-3.13,Gasolina
,,App2Car,71.001,14.3,16.0,,27.0,1015.0,45.0,0.0574608407914638,0.974440097808838,8.683769226074219,8.738460003007154,,3.5,35.0,16.24,14.0,56.08,,736.575,,,0,Gasolina,,,0.0,0.8,73.0,0.0,2.0,0.57,372.0,-3.13,Gasolina
,,App2Car,72.002,14.3,83.0,,82.0,1516.0,45.0,-0.5889736413955688,1.699883222579956,10.333374977111816,10.488809815144338,,11.0,35.0,12.86,24.0,56.08,,2506.24,,,1,Gasolina,,,0.0,0.9666666666666668,73.0,0.0,2.0,0.8,372.0,-3.13,Gasolina
,,App2Car,73.001,14.3,82.0,,83.0,1488.0,46.0,0.2873041927814483,1.5466543436050415,9.830592155456545,9.955662985693412,,11.0,35.0,13.01,24.0,56.08,,2488.32,,,1,Gasolina,,,0.0,0.9333333333333332,73.0,0.0,2.0,0.83,372.0,-3.13,Gasolina
,,App2Car,74.001,14.3,81.0,,82.0,1520.0,47.0,-0.4189853072166443,2.032677173614502,8.877699851989746,9.117065308629506,,11.5,35.0,12.86,24.0,56.08,,2502.4,,,1,Gasolina,,,0.0,0.9,73.0,0.0,2.0,0.93,372.0,-3.13,Gasolina
,,App2Car,75.000,14.3,82.0,,83.0,1536.0,48.0,-0.0407014302909374,1.5394717454910278,8.987833023071289,9.118814194411668,,12.0,35.0,13.24,24.0,56.08,,2528.4,,,1,Gasolina,,,0.0,0.9,73.0,0.0,2.0,0.93,372.0,-3.13,Gasolina
,,App2Car,76.010,14.3,80.0,,77.0,1552.0,48.0,0.3711012601852417,1.594538331031799,8.913613319396973,9.062713227404464,,12.5,35.0,12.93,24.0,56.08,,2529.28,,,1,Gasolina,,,0.0,0.9333333333333332,73.0,0.0,2.0,0.93,372.0,-3.13,Gasolina
,,App2Car,77.001,14.3,64.0,,70.0,1560.0,49.0,-0.1101332753896713,1.889025092124939,10.08437728881836,10.26037087245199,,17.0,35.0,10.44,22.0,56.08,,2104.48,,,1,Gasolina,,,0.0,0.9,73.0,0.0,2.0,0.93,372.0,-3.13,Gasolina
,,App2Car,78.000,14.3,67.0,,66.0,1570.0,49.0,0.6368576288223267,1.2330138683319092,9.610325813293455,9.710008912279257,,20.0,35.0,10.97,22.0,56.08,,2180.8,,,1,Gasolina,,,0.0,0.9,73.0,0.0,2.0,0.83,372.0,-3.13,Gasolina
,,App2Car,79.002,14.3,64.0,,57.0,1567.0,49.0,1.1013327836990356,1.1300631761550903,9.847352027893066,9.972979426620798,,26.0,35.0,6.31,21.0,56.08,,2073.55,,,1,Gasolina,,,0.0,0.9,73.0,0.0,2.0,0.8,372.0,-3.13,Gasolina
,,App2Car,80.005,14.3,36.0,,41.0,1564.0,48.0,1.0414776802062988,1.2545616626739502,10.196905136108398,10.326445423213787,,28.0,35.0,5.83,14.0,56.08,,1244.88,,,0,Etanol,,,0.0,0.9666666666666668,73.0,0.0,2.0,0.63,372.0,-3.13,Gasolina
,,App2Car,81.001,14.3,13.0,,18.0,1510.0,47.0,0.7374141216278076,0.8475474119186401,9.41639518737793,9.483175339890131,,-25.0,35.0,2.01,15.0,56.08,,903.0,,,0,Etanol,,,0.0,0.7333333333333333,73.0,0.0,2.0,0.6,372.0,-3.13,Gasolina
,,App2Car,82.000,14.3,13.0,,20.0,1494.0,46.0,0.7422025203704834,1.1779472827911377,9.560047149658203,9.66089674336535,,15.0,35.0,5.74,15.0,56.08,,903.0,,,0,Gasolina,,,0.0,0.9,73.0,0.0,2.0,0.63,372.0,-3.13,Gasolina
,,App2Car,83.000,14.3,40.0,,38.0,1482.0,46.0,0.8379706144332886,1.2880805730819702,9.974244117736816,10.091922117892723,,27.5,35.0,6.26,18.0,56.08,,1411.2600000000002,,,0,Gasolina,,,0.0,0.9333333333333332,73.0,0.0,2.0,0.5,372.0,-3.13,Gasolina
,,App2Car,84.001,14.3,13.0,,20.0,1487.0,46.0,0.9624691009521484,0.6967126727104187,9.66539192199707,9.738149532863476,,17.0,35.0,2.09,15.0,56.08,,882.0500000000001,,,0,Gasolina,,,0.0,0.9,73.0,0.0,2.0,0.53,372.0,-3.13,Gasolina
,,App2Car,85.000,14.3,13.0,,18.0,1479.0,46.0,0.4429273009300232,0.871489405632019,10.11789608001709,10.16501350043684,,-25.0,35.0,1.99,15.0,56.08,,882.0500000000001,,,0,Etanol,,,0.0,0.7333333333333333,73.0,0.0,2.0,0.53,372.0,-3.13,Gasolina
,,App2Car,86.001,14.3,14.0,,19.0,1475.0,46.0,0.9409212470054626,0.6560112833976746,8.822632789611816,8.896883327173901,,-25.0,36.0,2.03,15.0,56.08,,892.5,,,0,Etanol,,,0.0,0.7333333333333333,73.0,0.0,2.0,0.9,372.0,-3.13,Gasolina
,,App2Car,87.000,14.3,23.0,,27.0,731.0,44.0,-0.0287304203957319,-0.3711012601852417,9.725247383117676,9.732367556006318,,-2.0,36.0,1.85,15.0,56.08,,747.385,,,0,Etanol,,,0.0,0.6333333333333333,73.0,0.0,2.0,0.83,372.0,-3.13,Gasolina
,,App2Car,88.000,14.3,22.0,,26.0,765.0,41.0,-0.0670376494526863,-0.6057330369949341,10.448296546936035,10.466055001349206,,-0.5,36.0,1.66,14.0,56.08,,681.975,,,0,Etanol,,,0.0,0.7333333333333333,73.0,0.0,2.0,1.0,372.0,-3.13,Gasolina
,,App2Car,89.001,14.3,21.0,,26.0,780.0,39.0,-0.237025961279869,-0.8690952062606812,9.65342140197754,9.695362424789696,,-0.5,36.0,1.77,14.0,56.08,,654.0,,,0,Etanol,,,0.0,0.7333333333333333,73.0,0.0,2.0,1.0,372.0,-3.13,Gasolina
,,App2Car,90.001,14.3,20.0,,26.0,744.0,30.0,0.933738648891449,-1.4077905416488647,10.237606048583984,10.376045474051905,,-0.5,36.0,1.68,14.0,56.08,,594.8249999999999,,,0,Etanol,,,0.0,0.7666666666666667,73.0,0.0,1.0,1.0,372.0,-3.13,Gasolina
